msg_id,day,group,text
17886,2026-09-03,otome-1,[图片:]
17924,2026-09-03,otome-1,团长不打dlc错亿
17974,2026-09-03,otome-1,本篇打了半个多月
17998,2026-09-03,otome-1,我打了33小时
18087,2026-09-03,otome-1,[图片:]
18555,2026-09-03,otome-1,笑死我
18662,2026-09-03,otome-1,能不能明天突然发货吓我一跳
18812,2026-09-03,otome-1,霓虹我打算退了
18847,2026-09-03,anime-1,早喵～
18863,2026-09-03,otome-1,好像还删了
18895,2026-09-03,otome-1,其实悠久我也有点像要限定，但是没钱了
18971,2026-09-03,otome-1,吗
18982,2026-09-03,otome-1,丘比特fd好贵啊
19149,2026-09-03,otome-1,[数字]
19213,2026-09-03,otome-1,[数字]
19240,2026-09-03,otome-1,pdd啥时候原谅福袋券
19380,2026-09-03,otome-1,2020舞起来！
19473,2026-09-03,otome-3,看开水壶的视频说是专门补卡的，但是抽不出来也没有继承
19570,2026-09-03,otome-3,9494
19622,2026-09-03,otome-3,那个399
19722,2026-09-03,anime-4,[图片:]
19808,2026-09-03,anime-4,@ 要买一套吗
19956,2026-09-03,otome-1,[数字]
19991,2026-09-03,otome-1,[数字]
20095,2026-09-03,otome-1,这个白雪实在是可爱
20397,2026-09-04,anime-4,[图片:]
20407,2026-09-04,otome-1,[数字]
20432,2026-09-04,otome-3,[图片:]
20464,2026-09-04,otome-1,[数字]
20984,2026-09-04,otome-3,[图片:]
21135,2026-09-04,otome-3,🙏🙏🙏🙏🙏🙏🙏🙏🙏
21206,2026-09-04,otome-3,[表情:482]
21218,2026-09-04,otome-1,有强迫症
21292,2026-09-04,otome-1,百合花的分叉表情一定很可爱
21430,2026-09-04,otome-1,感觉今天还好抢
21714,2026-09-04,anime-4,@ 我就是考前复习两小时过的高数
21762,2026-09-04,otome-1,谁懂我的笑点
21785,2026-09-04,otome-1,不当用语还专门写成注意事项
21904,2026-09-04,otome-1,夺少？
21944,2026-09-04,otome-1,嘿嘿伊吕波
22009,2026-09-04,otome-2,加油
22017,2026-09-04,otome-2,我记得修改手机号是把你名下所有网易游戏的手机号都改成新的
22031,2026-09-04,otome-2,我是官服修改来着
22258,2026-09-04,otome-1,我出乙游一直套的
22448,2026-09-04,otome-1,包了一大半，还有一些就会懒得包了……
22613,2026-09-04,otome-1,我也
22695,2026-09-04,otome-3,崩三把水晶抽常驻然后出了个姬子后就不玩了
22814,2026-09-04,otome-3,就很奇怪
22887,2026-09-04,otome-3,@ 哦哦等一下我下一个
22914,2026-09-04,otome-3,[表情:312]
22917,2026-09-04,otome-1,[图片:]
22976,2026-09-04,otome-1,买过了也觉得没买过
23037,2026-09-04,anime-4,清蒸
23047,2026-09-04,otome-1,这个↑
23142,2026-09-04,otome-1,让我尝尝咸淡
23343,2026-09-04,otome-1,不然
23435,2026-09-04,otome-1,我狙的芹菜
23504,2026-09-04,otome-1,你说的我好期待哦吼吼吼
23519,2026-09-04,otome-1,@ 9.24
23681,2026-09-04,otome-1,聊着seri让我想起了这个谷美
23705,2026-09-04,otome-2,@ 绿绿的，好萌
23865,2026-09-04,otome-1,反正我觉得两边都很一般（）
23874,2026-09-04,otome-1,[图片:]
23908,2026-09-04,otome-1,不是我们猜的
23958,2026-09-04,otome-1,220绝对不可能
24072,2026-09-04,otome-1,[图片:]
24172,2026-09-04,otome-1,给我个链接
24467,2026-09-04,otome-1,258全新
24649,2026-09-04,otome-1,好一朵不染凡尘的白莲花
24715,2026-09-04,otome-1,@ 对啊
24751,2026-09-04,otome-1,哪怕她补20，卖家也亏了，不如直接235卖给别人
24992,2026-09-04,otome-1,丘比特几年了还是没打完可以吗()
25042,2026-09-04,otome-1,今天打完左边这条线了
25307,2026-09-04,otome-1,我去…
25327,2026-09-04,otome-1,其实还好
25352,2026-09-04,otome-1,hlbs我能不能自己来青衣拿
25448,2026-09-04,otome-1,不用十分钟！
25531,2026-09-04,otome-1,我打的時候第一次意識到紅華是減田俊草
25580,2026-09-04,otome-1,最近听说有2k8的？
25588,2026-09-04,otome-1,囤货了
25666,2026-09-04,otome-1,@ 嗯那个
25785,2026-09-04,otome-1,。。
25935,2026-09-05,otome-1,[数字]
25984,2026-09-05,otome-1,[数字]
26029,2026-09-05,otome-1,[数字]
26230,2026-09-05,otome-1,百子得不到它的青睐
26460,2026-09-05,otome-1,这种好像特别贵，快闪店或者搞活动才做几个
26660,2026-09-05,otome-3,你有这个感觉，是因为你手机的使用频率是远远大于平板的，且软件安装率手机也是远高于平板的
26877,2026-09-05,anime-4,[图片:]
26926,2026-09-05,otome-3,热的
26960,2026-09-05,otome-1,我求你了
27112,2026-09-05,otome-1,至今没事
27135,2026-09-05,otome-1,我还以为是pdd的
27346,2026-09-05,otome-1,等我看看！
27434,2026-09-05,otome-1,而且Sakura每次都抱个猫发火
27496,2026-09-05,otome-1,现实让我吸二手烟直接一个大脖溜
27646,2026-09-05,otome-3,[图片:]
27683,2026-09-05,otome-3,我最后悔的事就是买叶罗丽的啦
27702,2026-09-05,otome-1,@ 我想一想别的游戏还有啥喜欢的
27751,2026-09-05,otome-3,@ 这个官的最高上了五百多
27770,2026-09-05,otome-1,认真烧烤了一下
27800,2026-09-06,otome-1,[数字]
27882,2026-09-06,otome-1,OK
27928,2026-09-06,otome-1,@ 只露出眼睛特别萌
28040,2026-09-06,anime-4,果然打到游戏不知天昏地暗了
28090,2026-09-06,otome-1,我懂了，后面有一个必定进be的选项，如果前面就一堆错的，那么这个就直接不给选了
28211,2026-09-06,otome-1,偶不…
28213,2026-09-06,otome-1,不会吧，我之前的lite也是，一年都没充过电
28624,2026-09-06,otome-1,有人说自己今天被ban了，昨天没被ban
28718,2026-09-06,otome-1,玻璃鞋我也是看画风和花江夏树当的孝子
29001,2026-09-06,otome-1,说起来趁人多有没有宝宝出我两百的安琪莉可玩（）
29050,2026-09-06,otome-1,我拆了发现坏了就默默放那了。。
29098,2026-09-06,otome-1,新加的线
29123,2026-09-06,otome-1,但是很爱
29456,2026-09-06,otome-1,大对爱剧本太强了
29471,2026-09-06,anime-4,怎么做到的？教教我
29607,2026-09-06,otome-1,而且他读档好慢 黑屏半天
29617,2026-09-06,otome-1,[图片:]
