alias,softness,community,card_gender,label
LED_100,0.016,anime,none,male
LED_101,0.0,other,unknown,female
LED_102,0.06,anime,male,male
LED_103,0.082,anime,none,male
LED_104,0.023,other,unknown,female
LED_105,0.017,otome,unknown,female
LED_106,0.083,anime,none,male
LED_107,0.02,anime,none,male
LED_108,0.041,anime,male,male
LED_109,0.02,anime,male,male
LED_110,0.115,anime,female,male
LED_111,0.018,other,unknown,female
LED_112,0.066,anime,unknown,male
LED_113,0.089,anime,male,male
LED_114,0.055,anime,none,male
LED_115,0.073,anime,male,male
LED_116,0.071,anime,none,male
LED_117,0.011,other,unknown,female
LED_118,0.001,otome,unknown,male
LED_119,0.039,anime,none,male
LED_120,0.046,anime,unknown,male
LED_121,0.106,anime,male,male
LED_122,0.036,anime,male,male
LED_123,0.01,anime,none,male
LED_124,0.03,anime,male,male
LED_125,0.014,anime,none,male
LED_126,0.013,anime,none,male
LED_127,0.0,other,unknown,female
LED_128,0.031,anime,none,male
LED_129,0.059,anime,none,male
LED_130,0.045,otome,unknown,female
LED_131,0.0,otome,unknown,female
LED_132,0.081,anime,none,male
LED_133,0.153,anime,female,female
LED_134,0.06,anime,unknown,male
LED_135,0.209,anime,female,male
LED_136,0.063,anime,none,male
LED_137,0.035,anime,male,male
LED_138,0.006,anime,none,male
LED_139,0.191,anime,male,female
LED_140,0.002,other,unknown,male
LED_141,0.034,anime,male,male
LED_142,0.262,anime,female,male
LED_143,0.01,anime,female,male
LED_144,0.046,anime,female,male
LED_145,0.156,anime,none,male
LED_146,0.009,anime,male,male
LED_147,0.03,anime,none,male
LED_148,0.019,other,unknown,female
LED_149,0.012,anime,male,male
LED_150,0.0,otome,unknown,female
LED_151,0.029,anime,male,male
LED_152,0.009,otome,unknown,female
LED_153,0.033,anime,male,male
LED_154,0.14,anime,female,male
LED_155,0.007,other,unknown,male
LED_156,0.005,otome,unknown,female
LED_157,0.079,anime,unknown,male
LED_158,0.059,anime,none,male
LED_159,0.008,otome,unknown,female
LED_160,0.209,other,none,female
LED_161,0.0,anime,unknown,male
LED_162,0.097,anime,none,male
LED_163,0.0,otome,unknown,female
LED_164,0.08,other,unknown,female
LED_165,0.042,anime,male,male
LED_166,0.0,otome,unknown,female
LED_167,0.011,anime,female,male
LED_168,0.0,otome,unknown,female
LED_169,0.005,anime,male,male
LED_170,0.016,otome,unknown,female
LED_171,0.199,anime,female,male
LED_172,0.013,anime,none,male
LED_173,0.058,anime,male,male
LED_174,0.161,anime,none,female
LED_175,0.103,anime,none,male
LED_176,0.023,anime,male,male
LED_177,0.0,otome,unknown,female
LED_178,0.143,anime,none,male
LED_179,0.025,anime,unknown,male
LED_180,0.0,other,unknown,female
LED_181,0.144,anime,male,male
LED_182,0.024,anime,unknown,male
LED_183,0.099,anime,unknown,male
LED_184,0.024,otome,unknown,female
LED_185,0.134,anime,none,female
LED_186,0.027,anime,male,male
LED_187,0.051,anime,male,male
LED_188,0.027,other,unknown,female
LED_189,0.046,anime,none,male
LED_190,0.032,anime,female,male
